Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Months Code,Months,Unit,Value,Flag,Flag Description
"PP","Producer Prices","840","United States of America","5532","Producer Price (USD/tonne)","01445","Sunflower seed","2017","2017","7021","Annual value","USD","379","A","Official value"
"PP","Producer Prices","840","United States of America","5532","Producer Price (USD/tonne)","01445","Sunflower seed","2018","2018","7021","Annual value","USD","384","A","Official value"
"PP","Producer Prices","840","United States of America","5532","Producer Price (USD/tonne)","01445","Sunflower seed","2019","2019","7021","Annual value","USD","392","A","Official value"
"PP","Producer Prices","840","United States of America","5532","Producer Price (USD/tonne)","01445","Sunflower seed","2020","2020","7021","Annual value","USD","434","A","Official value"
"PP","Producer Prices","840","United States of America","5532","Producer Price (USD/tonne)","01445","Sunflower seed","2021","2021","7021","Annual value","USD","698.9","A","Official value"
"PP","Producer Prices","840","United States of America","5532","Producer Price (USD/tonne)","01445","Sunflower seed","2022","2022","7021","Annual value","USD","621.7","A","Official value"
"PP","Producer Prices","840","United States of America","5532","Producer Price (USD/tonne)","01445","Sunflower seed","2023","2023","7021","Annual value","USD","467.4","A","Official value"
"PP","Producer Prices","840","United States of America","5532","Producer Price (USD/tonne)","01445","Sunflower seed","2024","2024","7021","Annual value","USD","438.7","A","Official value"
"PP","Producer Prices","840","United States of America","5532","Producer Price (USD/tonne)","0111","Wheat","2014","2014","7021","Annual value","USD","220","A","Official value"
"PP","Producer Prices","840","United States of America","5532","Producer Price (USD/tonne)","0111","Wheat","2015","2015","7021","Annual value","USD","180","A","Official value"
"PP","Producer Prices","840","United States of America","5532","Producer Price (USD/tonne)","0111","Wheat","2016","2016","7021","Annual value","USD","143","A","Official value"
"PP","Producer Prices","840","United States of America","5532","Producer Price (USD/tonne)","0111","Wheat","2017","2017","7021","Annual value","USD","173","A","Official value"
"PP","Producer Prices","840","United States of America","5532","Producer Price (USD/tonne)","0111","Wheat","2018","2018","7021","Annual value","USD","189","A","Official value"
"PP","Producer Prices","840","United States of America","5532","Producer Price (USD/tonne)","0111","Wheat","2019","2019","7021","Annual value","USD","167","A","Official value"
"PP","Producer Prices","840","United States of America","5532","Producer Price (USD/tonne)","0111","Wheat","2020","2020","7021","Annual value","USD","184","A","Official value"
"PP","Producer Prices","840","United States of America","5532","Producer Price (USD/tonne)","0111","Wheat","2021","2021","7021","Annual value","USD","268.2","A","Official value"
"PP","Producer Prices","840","United States of America","5532","Producer Price (USD/tonne)","0111","Wheat","2022","2022","7021","Annual value","USD","330.7","A","Official value"
"PP","Producer Prices","840","United States of America","5532","Producer Price (USD/tonne)","0111","Wheat","2023","2023","7021","Annual value","USD","255.7","A","Official value"
"PP","Producer Prices","840","United States of America","5532","Producer Price (USD/tonne)","0111","Wheat","2024","2024","7021","Annual value","USD","203.9","A","Official value"
